id,x_px,y_px,type,label,r_kpc,size
59,1271.329,7542.222,star,,40.375,1.0
60,9950.542,4552.436,star,,18.993,1.0
61,1125.513,5961.736,star,,43.027,1.0
62,5886.591,13412.357,star,,44.178,1.0
63,10842.612,4697.045,star,,24.971,1.0
64,11660.01,10174.691,star,,34.181,1.0
65,4812.091,3140.264,star,,28.172,1.0
66,4687.947,12545.082,star,,39.794,1.0
67,5059.07,10853.685,star,,23.104,1.0
68,1068.902,5104.722,star,,45.841,1.0
69,7755.527,11942.67,star,,28.371,1.0
70,4553.52,11043.553,star,,27.434,1.0
71,6023.281,12201.112,star,,32.063,1.0
72,13187.961,10415.291,star,,48.542,1.0
73,1414.176,5708.951,star,,40.788,1.0
74,3801.214,8741.74,star,,18.214,1.0
75,8757.675,2483.985,star,,30.601,1.0
76,4360.294,4817.063,star,,18.144,1.0
77,4376.037,3698.045,star,,26.060,1.0
78,1853.619,9703.0,star,,39.940,1.0
79,3071.304,5229.258,star,,26.809,1.0
80,9771.098,10090.303,star,,19.250,1.0
81,5472.616,2842.369,star,,27.929,1.0
82,12665.577,5426.805,star,,38.165,1.0
83,11205.399,4721.491,star,,27.865,1.0
84,4946.837,10870.639,star,,23.832,1.0
85,12692.681,11217.146,star,,48.618,1.0
86,5844.023,12001.757,star,,30.592,1.0
87,9476.531,10237.998,star,,18.531,1.0
88,2267.914,9794.141,star,,36.623,1.0
89,12434.959,3698.618,star,,43.751,1.0
90,5070.163,12287.958,star,,35.881,1.0
91,5258.256,3919.289,star,,19.189,1.0
92,11005.928,6107.324,star,,20.294,1.0
93,9201.041,2672.627,star,,30.411,1.0
94,4256.174,9475.932,star,,18.063,1.0
95,6253.044,2724.682,star,,26.799,1.0
96,2388.734,6099.719,star,,30.391,1.0
97,1939.333,10662.785,star,,43.852,1.0
98,7750.637,3184.237,star,,21.508,1.0
99,11518.495,7319.408,star,,23.837,1.0
100,13106.997,8087.341,star,,40.348,1.0
101,9142.068,13164.847,star,,43.324,1.0
102,7463.918,3216.939,star,,20.906,1.0
103,9693.783,2220.342,star,,36.593,1.0
104,10176.234,2643.034,star,,35.304,1.0
105,9300.442,4306.014,star,,16.620,1.0
106,8591.735,11686.238,star,,27.566,1.0
107,3683.658,12457.148,star,,44.018,1.0
108,4132.545,10338.557,star,,24.704,1.0
109,6711.69,12106.745,star,,29.969,1.0
110,7333.385,2050.642,star,,32.506,1.0
111,9857.084,10798.003,star,,25.296,1.0
112,2705.946,5446.337,star,,29.294,1.0
113,11148.115,6809.986,star,,20.332,1.0
114,11711.033,9914.412,star,,33.220,1.0
115,10023.63,4726.392,star,,18.343,1.0
116,7347.594,3055.369,star,,22.466,1.0
117,9275.583,777.144,star,,48.435,1.0
118,1574.453,8685.196,star,,39.131,1.0
119,8674.997,3123.73,star,,24.278,1.0
120,7266.7,3205.343,star,,20.950,1.0
121,4680.857,3908.998,star,,22.517,1.0
122,9360.178,11075.87,star,,24.947,1.0
123,9138.031,10583.034,star,,19.577,1.0
124,10494.1,5409.567,star,,18.241,1.0
125,10034.492,12395.224,star,,39.757,1.0
126,8629.081,11165.331,star,,22.740,1.0
127,2571.006,8796.271,star,,29.897,1.0
128,6801.305,2269.65,star,,30.479,1.0
129,2249.03,4302.245,star,,38.433,1.0
130,12094.0,2608.764,star,,47.917,1.0
131,8742.866,3225.405,star,,23.559,1.0
132,2375.826,8160.62,star,,30.151,1.0
133,12032.848,3823.213,star,,39.733,1.0
134,6208.82,3606.842,star,,18.315,1.0
135,11264.574,6021.884,star,,23.017,1.0
136,11548.359,9570.787,star,,30.102,1.0
137,10448.03,5097.926,star,,19.457,1.0
138,3256.517,8334.466,star,,21.978,1.0
139,3264.237,9383.505,star,,25.904,1.0
140,4249.025,3937.09,star,,25.068,1.0
141,9050.103,681.534,star,,48.704,1.0
142,10729.655,4208.514,star,,27.068,1.0
143,3145.366,11126.716,star,,37.269,1.0
144,8643.333,1782.123,star,,37.016,1.0
145,9827.64,12179.735,star,,36.882,1.0
146,9154.807,11389.557,star,,26.813,1.0
147,9888.715,9449.219,star,,15.621,1.0
148,5930.749,11076.288,star,,21.494,1.0
149,3880.707,9348.123,star,,20.412,1.0
150,4065.504,5613.656,star,,16.193,1.0
151,9238.295,3289.634,star,,24.993,1.0
152,9684.482,1867.335,star,,39.738,1.0
153,3041.041,6722.372,star,,22.883,1.0
154,4450.46,4241.917,star,,21.460,1.0
155,11207.209,8358.532,star,,22.310,1.0
156,4197.877,4019.177,star,,24.813,1.0
157,11284.07,3276.607,star,,37.448,1.0
158,12604.308,5608.234,star,,37.037,1.0
159,2789.617,9067.669,star,,28.812,1.0
160,5286.0,1628.801,star,,39.957,1.0
161,9768.985,3761.407,star,,23.780,1.0
162,8458.746,10858.346,star,,19.280,1.0
163,8033.714,13070.031,star,,39.906,1.0
164,10716.303,3027.576,star,,35.407,1.0
165,13321.242,9448.222,star,,45.800,1.0
166,4400.807,11766.058,star,,34.319,1.0
167,6033.863,1260.779,star,,41.558,1.0
168,9720.085,2769.393,star,,31.860,1.0
169,3957.708,13173.711,star,,48.717,1.0
170,5919.743,3839.754,star,,17.011,1.0
171,9434.364,10188.493,star,,17.882,1.0
172,1069.115,5054.453,star,,46.004,1.0
173,11212.538,6562.972,star,,21.299,1.0
174,6080.665,11907.82,star,,29.078,1.0
175,11179.763,8770.948,star,,23.373,1.0
176,12962.459,6195.15,star,,39.168,1.0
177,7035.989,1775.011,star,,35.280,1.0
178,9343.235,4222.148,star,,17.551,1.0
179,6520.77,3398.986,star,,19.641,1.0
180,1854.954,5356.472,star,,37.589,1.0
181,8370.656,11085.008,star,,21.171,1.0
182,3380.372,5297.052,star,,23.736,1.0
183,9212.558,11373.54,star,,26.914,1.0
184,9771.123,9990.312,star,,18.508,1.0
185,4403.147,12730.78,star,,42.718,1.0
186,3390.412,7059.054,star,,19.134,1.0
187,13473.664,6723.329,star,,43.572,1.0
188,13969.251,7317.555,star,,48.340,1.0
189,5350.311,2775.648,star,,29.010,1.0
190,10042.469,9573.941,star,,17.601,1.0
191,11333.216,7220.408,star,,21.972,1.0
192,11367.399,10524.559,star,,33.877,1.0
193,5604.618,11855.432,star,,29.921,1.0
194,7054.17,13400.805,star,,42.670,1.0
195,1031.636,8044.873,star,,43.234,1.0
196,9599.722,3382.897,star,,25.965,1.0
197,1825.275,8439.672,star,,36.114,1.0
198,6269.538,1438.629,star,,39.393,1.0
199,4177.071,5653.394,star,,15.018,1.0
200,3284.566,6356.93,star,,21.086,1.0
201,9822.648,3697.577,star,,24.612,1.0
202,7152.373,2072.541,star,,32.279,1.0
203,11943.921,6029.151,star,,29.541,1.0
204,5018.771,10597.929,star,,21.144,1.0
205,5741.93,10588.438,star,,17.615,1.0
206,4833.9,4778.251,star,,14.932,1.0
207,5654.754,3634.362,star,,19.918,1.0
208,6751.919,1258.102,star,,40.601,1.0
209,3822.041,11471.369,star,,35.248,1.0
210,4229.754,9413.758,star,,17.902,1.0
211,11472.252,9890.534,star,,31.061,1.0
212,10296.427,5042.197,star,,18.513,1.0
213,3874.196,4355.378,star,,24.838,1.0
214,4156.32,12146.966,star,,38.845,1.0
215,6271.594,2207.726,star,,31.809,1.0
216,8801.393,13099.307,star,,41.727,1.0
217,11533.925,8459.955,star,,25.731,1.0
218,2433.627,7298.985,star,,28.671,1.0
219,9863.53,2445.665,star,,35.390,1.0
220,2893.696,3704.914,star,,36.535,1.0
221,7026.664,11395.445,star,,22.638,1.0
222,10423.567,10339.711,star,,25.565,1.0
223,3987.703,2296.436,star,,39.690,1.0
224,11642.85,10363.139,star,,35.107,1.0
225,12320.947,4813.97,star,,37.229,1.0
226,8667.792,3066.457,star,,24.794,1.0
227,11717.277,7588.34,star,,25.964,1.0
228,3059.714,7244.207,star,,22.404,1.0
229,9236.599,3516.517,star,,22.981,1.0
230,9613.444,10448.121,star,,21.034,1.0
231,4518.396,4611.722,star,,18.344,1.0
232,1132.474,8938.624,star,,44.061,1.0
233,10596.522,4155.593,star,,26.419,1.0
234,12392.761,3154.62,star,,46.615,1.0
235,10578.86,1344.183,star,,48.494,1.0
236,11021.997,11674.895,star,,39.415,1.0
237,7205.212,2640.091,star,,26.599,1.0
238,8553.169,11302.904,star,,23.796,1.0
239,13215.113,7224.535,star,,40.805,1.0
240,1533.929,8713.998,star,,39.596,1.0
241,11084.848,9477.939,star,,25.608,1.0
242,7099.513,2459.436,star,,28.420,1.0
243,1289.761,8039.204,star,,40.668,1.0
244,7446.31,10995.423,star,,18.663,1.0
245,10582.898,5547.125,star,,18.389,1.0
246,5780.296,11648.833,star,,27.402,1.0
247,8435.439,11835.954,star,,28.577,1.0
248,12837.33,10632.714,star,,46.575,1.0
249,8336.804,10832.232,star,,18.654,1.0
250,12087.065,6952.829,star,,29.583,1.0
251,8619.846,10828.812,star,,19.554,1.0
252,8904.495,10792.073,star,,20.340,1.0
253,4137.531,4330.747,star,,23.040,1.0
254,10674.153,2492.483,star,,39.365,1.0
255,5781.717,1536.045,star,,39.427,1.0
256,1185.587,4332.319,star,,47.691,1.0
257,8933.069,12783.821,star,,39.061,1.0
258,8200.156,3216.382,star,,22.024,1.0
259,10620.548,8951.537,star,,19.007,1.0
260,3948.726,11147.494,star,,31.937,1.0
261,1713.525,3234.586,star,,48.766,1.0
262,10705.407,10288.132,star,,27.283,1.0
263,3453.634,5424.828,star,,22.516,1.0
264,7972.034,11856.942,star,,27.818,1.0
265,10922.079,5733.993,star,,20.723,1.0
266,11210.957,7527.362,star,,20.869,1.0
267,10562.064,11394.248,star,,34.321,1.0
268,6807.14,12028.107,star,,29.096,1.0
269,4483.935,10042.951,star,,20.133,1.0
270,5977.138,3659.294,star,,18.508,1.0
271,11329.706,10495.116,star,,33.399,1.0
272,6956.882,3198.125,star,,21.103,1.0
273,10019.387,4952.772,star,,16.846,1.0
274,3213.962,6983.559,star,,20.929,1.0
275,8888.576,931.532,star,,45.867,1.0
276,10388.315,1329.384,star,,47.698,1.0
277,5205.884,1494.53,star,,41.489,1.0
278,4115.167,9432.422,star,,18.940,1.0
279,11167.433,7002.553,star,,20.373,1.0
280,2388.036,7048.461,star,,29.149,1.0
281,9323.349,12827.543,star,,40.736,1.0
282,3241.022,7445.197,star,,20.655,1.0
283,6670.611,3294.401,star,,20.436,1.0
284,6155.519,3524.079,star,,19.252,1.0
285,6280.662,2639.232,star,,27.557,1.0
286,11093.419,5182.841,star,,24.593,1.0
287,10361.52,10088.422,star,,23.389,1.0
288,3310.159,12038.646,star,,42.876,1.0
289,2244.746,5198.787,star,,34.495,1.0
290,6042.142,12469.069,star,,34.631,1.0
291,11313.336,8107.831,star,,22.734,1.0
292,3184.061,6413.529,star,,21.954,1.0
293,5069.814,11079.381,star,,25.007,1.0
294,1488.998,3642.097,star,,48.354,1.0
295,6720.55,13656.835,star,,45.400,1.0
296,4966.874,11831.639,star,,32.155,1.0
297,1053.064,5854.294,star,,43.960,1.0
298,6477.951,3262.289,star,,21.063,1.0
299,9974.793,4914.653,star,,16.744,1.0
300,1994.461,9700.873,star,,38.656,1.0
301,3627.291,12736.211,star,,46.656,1.0
302,3662.212,8053.203,star,,17.346,1.0
303,11983.758,8330.089,star,,29.758,1.0
304,9524.761,2443.289,star,,33.847,1.0
305,588.015,7442.924,star,,47.158,1.0
306,4555.845,9907.664,star,,18.664,1.0
307,965.546,8577.492,star,,44.805,1.0
308,4446.918,10753.575,star,,25.741,1.0
309,10689.436,5785.493,star,,18.374,1.0
310,7818.673,11285.322,star,,21.934,1.0
311,4917.621,3242.922,star,,26.747,1.0
312,13616.145,9361.662,star,,48.297,1.0
313,13330.868,9920.79,star,,47.657,1.0
314,12117.561,7279.427,star,,29.819,1.0
315,9627.763,886.457,star,,48.566,1.0
316,3231.157,6240.462,star,,21.869,1.0
317,4162.582,13166.797,star,,47.685,1.0
318,8377.393,12805.279,star,,37.883,1.0
319,7649.817,2327.524,star,,29.915,1.0
320,6391.415,13320.212,star,,42.387,1.0
321,12915.643,10877.163,star,,48.535,1.0
322,3299.564,4533.057,star,,28.321,1.0
323,10220.877,4650.868,star,,20.326,1.0
324,10812.233,11487.287,star,,36.628,1.0
325,4148.11,9575.573,star,,19.527,1.0
326,3705.665,8910.401,star,,19.808,1.0
327,8340.693,3172.817,star,,22.801,1.0
328,6909.294,2414.878,star,,28.950,1.0
329,13834.966,7610.421,star,,47.106,1.0
330,8385.023,10735.625,star,,17.882,1.0
331,3767.986,11336.125,star,,34.543,1.0
332,6840.971,3098.254,star,,22.190,1.0
333,5567.31,11927.313,star,,30.722,1.0
334,2815.429,4883.284,star,,30.653,1.0
335,4800.897,4448.935,star,,17.576,1.0
336,6774.575,13731.526,star,,46.106,1.0
337,6293.868,11280.56,star,,22.483,1.0
338,10977.652,5795.386,star,,21.018,1.0
339,8744.872,11183.49,star,,23.313,1.0
340,2425.189,8097.872,star,,29.549,1.0
341,6281.906,12147.824,star,,30.999,1.0
342,8002.257,12328.944,star,,32.528,1.0
343,1120.184,4276.431,star,,48.532,1.0
344,10804.618,9494.28,star,,23.300,1.0
345,3401.204,8430.254,star,,20.867,1.0
346,2963.9,5847.628,star,,25.514,1.0
347,10203.445,9767.327,star,,20.078,1.0
348,9975.98,3471.814,star,,27.339,1.0
349,795.226,5720.585,star,,46.770,1.0
350,12058.352,9704.687,star,,35.237,1.0
351,4392.683,5104.16,star,,16.106,1.0
352,11202.223,4571.086,star,,28.655,1.0
353,2565.49,3574.878,star,,39.912,1.0
354,5656.584,1426.718,star,,40.801,1.0
355,9012.785,4120.397,star,,16.620,1.0
356,9239.389,10555.343,star,,19.838,1.0
357,4112.917,11704.863,star,,35.385,1.0
358,9208.171,4266.785,star,,16.416,1.0
359,7961.301,1167.83,star,,41.777,1.0
360,10250.096,4936.358,star,,18.767,1.0
361,4056.918,5022.719,star,,19.306,1.0
362,3156.657,9932.451,star,,29.670,1.0
363,10550.514,5287.417,star,,19.333,1.0
364,10179.699,3923.678,star,,25.119,1.0
365,9924.633,4610.181,star,,18.405,1.0
366,9496.619,4135.187,star,,19.155,1.0
367,3087.002,6314.499,star,,23.106,1.0
368,816.918,7171.873,star,,44.832,1.0
369,6121.66,11274.829,star,,22.844,1.0
370,4742.062,13498.954,star,,48.333,1.0
371,7138.996,11110.15,star,,19.750,1.0
372,3815.891,5255.391,star,,20.096,1.0
373,9137.685,10550.461,star,,19.278,1.0
374,5093.51,4517.848,star,,15.177,1.0
375,12073.124,4173.458,star,,38.140,1.0
376,9735.714,2605.073,star,,33.373,1.0
377,11614.945,7740.449,star,,25.099,1.0
378,8312.665,12970.417,star,,39.376,1.0
379,2525.339,8668.866,star,,29.938,1.0
380,9024.164,2579.07,star,,30.601,1.0
381,10473.023,4954.765,star,,20.465,1.0
382,8856.517,2105.021,star,,34.511,1.0
383,2557.351,8611.331,star,,29.465,1.0
384,5376.456,10465.42,star,,18.152,1.0
385,4360.554,13286.905,star,,47.900,1.0
386,1635.488,9513.931,star,,41.182,1.0
387,11564.637,4041.545,star,,34.656,1.0
388,4969.043,2043.319,star,,37.243,1.0
389,7878.271,1562.378,star,,37.760,1.0
390,1380.994,8907.963,star,,41.587,1.0
391,10550.193,9170.406,star,,19.440,1.0
392,5105.655,3850.766,star,,20.570,1.0
393,12311.819,7906.222,star,,32.221,1.0
394,10485.632,5066.65,star,,19.943,1.0
395,3430.375,11312.271,star,,36.596,1.0
396,10934.05,6127.884,star,,19.546,1.0
397,4883.208,11901.957,star,,33.153,1.0
398,13948.556,7902.716,star,,48.473,1.0
399,10496.758,9141.568,star,,18.834,1.0
400,3968.027,11323.559,star,,33.182,1.0
401,13259.244,6226.349,star,,42.041,1.0
402,7308.488,12178.611,star,,30.434,1.0
403,9776.865,10709.516,star,,24.108,1.0
404,4900.092,2293.965,star,,35.243,1.0
405,4470.063,9713.857,star,,17.942,1.0
406,8613.295,10830.469,star,,19.546,1.0
407,3836.198,10088.923,star,,25.181,1.0
408,3306.726,5108.052,star,,25.261,1.0
409,5963.955,11102.006,star,,21.634,1.0
410,12470.426,8005.378,star,,33.931,1.0
411,3127.61,11006.945,star,,36.576,1.0
412,8831.207,10800.351,star,,20.108,1.0
413,4171.437,3636.456,star,,27.840,1.0
414,11491.102,10141.374,star,,32.594,1.0
415,3766.489,10466.359,star,,28.217,1.0
416,10136.932,2548.176,star,,35.890,1.0
417,10219.702,2659.916,star,,35.397,1.0
418,8847.788,12788.752,star,,38.863,1.0
419,6544.664,12255.731,star,,31.645,1.0
420,2721.301,7894.275,star,,26.293,1.0
421,12226.18,8807.482,star,,33.364,1.0
422,11015.389,11274.293,star,,36.401,1.0
423,10626.323,5418.979,star,,19.348,1.0
424,5202.002,3970.487,star,,19.043,1.0
425,2159.167,11699.568,star,,48.404,1.0
426,1112.476,7651.447,star,,42.029,1.0
427,10175.507,3912.628,star,,25.174,1.0
428,13012.312,10042.125,star,,45.279,1.0
429,4646.49,4221.209,star,,20.309,1.0
430,10539.566,7990.924,star,,14.923,1.0
431,11040.213,11186.002,star,,35.916,1.0
432,8278.277,3022.521,star,,24.094,1.0
433,11173.185,1730.919,star,,48.460,1.0
434,2949.736,6443.823,star,,24.199,1.0
435,3966.738,13103.011,star,,48.054,1.0
436,11438.926,3650.357,star,,36.087,1.0
437,3896.521,10146.078,star,,25.099,1.0
438,4445.597,9532.788,star,,16.937,1.0
439,5918.108,11026.502,star,,21.068,1.0
440,9429.003,12942.758,star,,42.189,1.0
441,10543.494,5311.749,star,,19.158,1.0
442,10543.586,4322.516,star,,24.915,1.0
443,2063.853,7198.573,star,,32.362,1.0
444,987.288,6518.172,star,,43.521,1.0
445,1847.738,6684.914,star,,34.787,1.0
446,9506.918,12811.336,star,,41.256,1.0
447,8135.923,2187.498,star,,31.956,1.0
448,8644.405,10764.427,star,,19.045,1.0
449,11866.546,3360.796,star,,41.224,1.0
450,11967.166,8296.786,star,,29.521,1.0
451,3785.137,4989.897,star,,21.746,1.0
452,9188.281,10450.696,star,,18.678,1.0
453,5934.642,12186.785,star,,32.138,1.0
454,9476.925,13473.687,star,,47.330,1.0
455,12455.202,8427.167,star,,34.570,1.0
456,2035.652,3473.993,star,,44.753,1.0
457,2872.126,11158.396,star,,39.483,1.0
458,4887.025,1661.452,star,,41.077,1.0
459,8401.19,13075.419,star,,40.577,1.0
460,9752.478,2534.417,star,,34.074,1.0
461,10954.227,11611.093,star,,38.490,1.0
462,13707.327,6629.176,star,,45.980,1.0
463,4356.345,5320.883,star,,15.154,1.0
464,5521.73,11999.818,star,,31.559,1.0
465,13080.773,6897.604,star,,39.535,1.0
466,9182.814,3534.616,star,,22.567,1.0
467,5015.401,11574.11,star,,29.633,1.0
468,9904.177,9864.526,star,,18.529,1.0
469,11025.281,6416.465,star,,19.727,1.0
470,11191.587,8105.822,star,,21.536,1.0
471,10934.133,11141.043,star,,34.857,1.0
472,13464.734,6200.927,star,,44.110,1.0
473,5032.028,10021.442,star,,16.370,1.0
474,13333.307,7699.303,star,,42.162,1.0
475,8384.342,2143.166,star,,32.891,1.0
476,9341.675,11074.586,star,,24.846,1.0
477,9965.69,4892.684,star,,16.816,1.0
478,6240.04,12018.211,star,,29.808,1.0
479,3872.418,9057.893,star,,19.001,1.0
480,10391.985,11887.39,star,,37.280,1.0
481,7263.234,11965.711,star,,28.299,1.0
482,13416.483,9912.559,star,,48.408,1.0
483,12181.136,6190.584,star,,31.504,1.0
484,4556.781,10795.283,star,,25.406,1.0
485,10846.689,4402.501,star,,26.749,1.0
486,4692.471,2649.166,star,,33.024,1.0
487,3432.989,4994.673,star,,24.717,1.0
488,12078.837,6142.649,star,,30.622,1.0
489,11405.157,8979.501,star,,26.246,1.0
490,3947.633,4126.359,star,,25.824,1.0
491,4553.697,4293.345,star,,20.383,1.0
492,4361.105,9922.364,star,,20.159,1.0
493,11924.666,8866.875,star,,30.691,1.0
494,1679.174,9270.366,star,,39.888,1.0
495,7739.157,12125.482,star,,30.171,1.0
496,9688.731,10098.755,star,,18.772,1.0
497,12103.073,9818.209,star,,36.160,1.0
498,12182.21,5515.391,star,,33.301,1.0
499,1261.109,3956.721,star,,48.732,1.0
500,1029.195,4731.861,star,,47.515,1.0
501,3501.493,8418.354,star,,19.877,1.0
502,10500.005,1789.769,star,,44.253,1.0
503,13552.945,6874.025,star,,44.263,1.0
504,12106.973,8071.921,star,,30.450,1.0
505,11336.717,12556.369,star,,48.246,1.0
506,13052.34,5876.222,star,,40.686,1.0
507,11785.261,6638.191,star,,26.859,1.0
508,4183.959,3534.991,star,,28.538,1.0
509,2739.181,9249.408,star,,30.000,1.0
510,1395.274,8467.112,star,,40.372,1.0
511,11572.47,3282.28,star,,39.515,1.0
512,6209.523,12245.475,star,,32.096,1.0
513,10429.052,10515.45,star,,26.846,1.0
514,4812.217,9924.68,star,,17.033,1.0
515,11222.152,11444.366,star,,39.040,1.0
516,7511.665,2506.789,star,,28.024,1.0
517,10868.069,4570.094,star,,25.914,1.0
518,11042.233,9101.038,star,,23.447,1.0
519,2389.266,8481.242,star,,30.732,1.0
520,4098.704,3617.787,star,,28.456,1.0
521,6463.599,3365.82,star,,20.074,1.0
522,4278.533,9135.438,star,,15.916,1.0
523,5322.525,4213.157,star,,16.347,1.0
524,7163.517,11628.95,star,,24.933,1.0
525,3791.486,3935.755,star,,28.241,1.0
526,12021.281,9649.817,star,,34.658,1.0
527,12378.836,4409.508,star,,39.575,1.0
528,4699.792,10512.485,star,,22.287,1.0
529,3320.086,3581.212,star,,34.130,1.0
530,5492.755,11081.339,star,,23.131,1.0
531,7404.371,1249.304,star,,40.536,1.0
532,13767.099,8420.006,star,,47.405,1.0
533,6943.567,2380.414,star,,29.274,1.0
534,9570.157,2588.219,star,,32.750,1.0
535,1390.281,4614.25,star,,44.649,1.0
536,4359.496,10609.837,star,,25.177,1.0
537,8639.927,2476.69,star,,30.319,1.0
538,11559.745,5515.226,star,,27.457,1.0
539,7055.831,12282.599,star,,31.492,1.0
540,8946.304,10846.044,star,,21.007,1.0
541,2977.236,6538.919,star,,23.768,1.0
542,11016.067,10899.826,star,,33.717,1.0
543,12970.054,6914.697,star,,38.420,1.0
544,11528.077,7130.85,star,,23.930,1.0
545,2704.964,5808.196,star,,28.101,1.0
546,12159.155,7931.208,star,,30.744,1.0
547,4372.661,9789.014,star,,19.168,1.0
548,4720.691,10094.791,star,,18.915,1.0
549,1312.869,8182.345,star,,40.654,1.0
550,5906.085,11432.801,star,,24.963,1.0
551,3297.318,2432.294,star,,42.687,1.0
552,1161.089,8205.938,star,,42.190,1.0
553,11597.523,12413.97,star,,48.775,1.0
554,9859.61,4672.38,star,,17.506,1.0
555,3402.152,11257.111,star,,36.385,1.0
556,10337.894,2715.263,star,,35.600,1.0
557,7661.631,3013.938,star,,23.094,1.0
558,8506.003,3939.251,star,,16.047,1.0
559,9495.407,4373.653,star,,17.257,1.0
560,2021.637,5889.676,star,,34.455,1.0
561,4586.284,10600.095,star,,23.674,1.0
562,6632.584,3327.908,star,,20.159,1.0
563,7958.884,12437.719,star,,33.540,1.0
564,10523.469,5472.181,star,,18.202,1.0
565,5215.93,3937.19,star,,19.255,1.0
566,11024.311,6008.526,star,,20.764,1.0
567,8531.033,12189.358,star,,32.238,1.0
568,6654.108,11467.121,star,,23.684,1.0
569,7528.369,2364.895,star,,29.450,1.0
570,3316.165,5314.114,star,,24.236,1.0
571,4287.189,11785.914,star,,35.093,1.0
572,7782.198,11724.726,star,,26.239,1.0
573,10318.751,10479.635,star,,25.823,1.0
574,3342.82,9921.403,star,,28.070,1.0
575,4693.46,11103.085,star,,27.153,1.0
576,1018.881,4456.033,star,,48.686,1.0
577,6831.872,3186.499,star,,21.319,1.0
578,13638.507,7390.631,star,,45.048,1.0
579,2117.329,10051.743,star,,39.170,1.0
580,11132.433,5161.71,star,,25.037,1.0
581,10900.915,5997.008,star,,19.620,1.0
582,13242.828,8436.502,star,,42.288,1.0
583,11365.142,4865.397,star,,28.500,1.0
584,9319.106,4142.675,star,,18.065,1.0
585,11252.907,2912.125,star,,39.829,1.0
586,2047.86,8165.315,star,,33.382,1.0
587,11803.793,3892.567,star,,37.466,1.0
588,9138.091,3937.397,star,,18.832,1.0
589,11509.175,6219.954,star,,24.877,1.0
590,8273.816,877.729,star,,45.096,1.0
591,5045.618,3059.961,star,,27.733,1.0
592,11562.873,9143.149,star,,28.343,1.0
593,4225.426,10337.854,star,,24.051,1.0
594,2852.12,10483.174,star,,35.338,1.0
595,12056.149,9333.708,star,,33.625,1.0
596,10531.733,4735.984,star,,22.222,1.0
597,3695.281,11675.932,star,,37.638,1.0
598,8821.001,1707.213,star,,38.212,1.0
599,8165.416,13241.784,star,,41.798,1.0
600,8682.254,10504.45,star,,16.799,1.0
601,3523.613,4896.648,star,,24.452,1.0
602,1961.672,7513.866,star,,33.466,1.0
603,9982.993,9868.655,star,,19.123,1.0
604,1067.788,4396.73,star,,48.484,1.0
605,4282.064,4840.384,star,,18.599,1.0
606,12819.636,9489.468,star,,41.267,1.0
